"UniqueID","Probability1"
6533,0.0161525784157351
6534,0.122164652135739
6535,0.978257792207792
6536,0.638835714285715
6537,0.0487177276552277
6538,0.705116296666296
6539,0.805712752782308
6540,0.00978181818181802
6541,0.0484448717948717
6542,0.000666666666665024
6543,0.00113333333333129
6544,0.695586616034128
6545,1.44262379819793e-15
6546,1.83070225645565e-15
6547,2.12585504755225e-15
6548,0.875666559707349
6549,0.929419337485127
6550,0.475185275365616
6551,0.12756162682806
6552,0.0060666666666664
6553,0.0321484848484847
6554,0.134421957835766
6555,0.903750640392746
6556,0.00156666666666523
6557,1.78224102143076e-15
6558,0.372737012824174
6559,1.97225569209536e-15
6560,0.927863545515904
6561,0.417477869791028
6562,0.00196666666666542
6563,1.87755366809483e-15
6564,0.00276666666666562
6565,0.000199999999998243
6566,0.00863859649122754
6567,0.602410629095109
6568,0.926342054035663
6569,0.814503236648792
6570,0.00141666666666532
6571,0.0716333333333332
6572,0.698655860805861
6573,0.824036665618245
6574,0.887174781187539
6575,0.0191333333333325
6576,0.873559534583064
6577,0.00278354978354785
6578,2.01666461308037e-15
6579,0.0169615384615374
6580,1.5182299861749e-15
6581,0.595431329308806
6582,0.00531666666666578
6583,1.63147273468667e-15
6584,0.124648268398268
6585,0.00106666666666598
6586,0.0237693657219971
6587,0.257094684727038
6588,1.97142302482689e-15
6589,1.92712512614435e-15
6590,0.169389075630252
6591,0.812743354453686
6592,0.00349999999999858
6593,1.54321000422897e-15
6594,0.00449999999999916
6595,0.000499999999998532
6596,0.00199999999999885
6597,0.00866666666666552
6598,1.55470081253384e-15
6599,1.57840407410959e-15
6600,0.549227272727273
6601,0.169494993894994
6602,1.13681286606493e-15
6603,1.12015952069555e-15
6604,0.154554329004329
6605,0.0684386446886447
6606,0.694304462605018
6607,0.0136999999999986
6608,0.743352901591162
6609,0.586915030015354
6610,0.00139285714285533
6611,0.00119999999999933
6612,0.423147741147741
6613,1.77791115163473e-15
6614,0.0258666666666664
6615,2.05802042074765e-15
6616,0.0198428571428571
6617,6.79456491070596e-17
6618,0.0115282051282041
6619,0.0420633116883116
6620,1.38405953364895e-15
6621,0.0960603174603172
6622,0.010354401154401
6623,0.00139999999999854
